536755.95,7358889.42,140.19
536756.22,7358889.50,141.13
536756.54,7358889.22,141.30
536756.13,7358889.00,139.98
536756.39,7358888.81,140.54
536756.70,7358888.79,141.18
536756.20,7358887.83,140.07
536756.50,7358887.49,140.23
536756.87,7358887.54,141.01
536757.23,7358887.39,141.44
536756.91,7358886.41,140.22
536757.01,7358886.76,140.78
536757.41,7358886.38,141.17
536757.52,7358885.43,140.18
536757.72,7358885.66,141.00
536758.21,7358885.28,141.27
536757.90,7358884.66,139.36
536758.34,7358884.19,139.29
536758.62,7358883.46,138.29
536758.66,7358883.64,138.93
536757.88,7358884.87,139.79
536758.43,7358884.40,140.16
536758.51,7358884.50,141.01
536759.27,7358882.80,138.32
536759.31,7358883.07,139.15
536759.86,7358882.71,139.18
536758.96,7358883.80,140.56
536759.03,7358883.93,141.19
536759.38,7358883.29,140.15
536759.52,7358883.47,141.09
536760.11,7358882.76,140.21
536760.14,7358882.93,141.13
536756.74,7358889.38,141.97
536757.12,7358889.13,144.43
536757.28,7358889.42,144.90
536757.67,7358889.43,144.50
536757.97,7358889.69,144.98
536758.38,7358889.13,145.07
536757.15,7358888.72,142.23
536757.16,7358888.47,143.18
536757.20,7358887.76,141.82
536757.15,7358888.55,143.97
536757.43,7358888.03,142.25
536757.43,7358888.07,143.26
536757.58,7358887.26,142.13
536757.68,7358887.31,143.04
536757.63,7358888.41,144.27
536757.64,7358888.89,144.76
536757.82,7358887.40,144.02
536758.26,7358886.89,144.52
536758.24,7358887.14,144.70
536758.63,7358889.08,147.39
536758.34,7358889.62,149.09
536758.64,7358889.02,147.84
536758.75,7358887.03,146.72
536758.98,7358887.33,147.92
536758.90,7358887.20,149.27
536757.92,7358886.18,142.16
536758.03,7358886.35,143.14
536758.06,7358885.97,141.86
536757.82,7358885.88,141.64
536758.28,7358885.67,142.03
536758.35,7358885.36,143.19
536758.01,7358886.68,143.89
536758.28,7358886.60,144.34
536758.56,7358885.83,144.86
536758.49,7358885.29,144.14
536758.81,7358885.13,145.13
536758.66,7358884.25,142.18
536758.64,7358884.48,143.16
536758.63,7358884.71,143.68
536758.90,7358884.52,144.76
536758.79,7358886.30,146.15
536759.05,7358886.26,146.98
536758.85,7358885.35,145.76
536759.07,7358883.91,142.15
536759.06,7358883.91,143.17
536759.61,7358883.52,142.14
536759.58,7358883.52,143.16
536760.13,7358883.04,142.14
536760.10,7358882.93,143.09
536759.04,7358883.98,144.13
536759.16,7358884.27,145.05
